Lat,Long,Species,Present,Total
55.79,-4.319,a white-tailed bumblebee,1,142
55.8,-4.597,Buff-tailed Bumblebee,1,142
50.73,-1.551,Buff-tailed Bumblebee,1,141
50.85,-2.239,Buff-tailed Bumblebee,1,141
50.86,0.619,Red-tailed Bumblebee,1,141
50.93,0.9214,Buff-tailed Bumblebee,1,141
51.16,-2.844,Indet. Bee,1,141
51.48,0.01162,White/Buff-tailed Bumblebee workers,1,141
51.86,-2.08,Common Carder,1,141
53.95,-1.086,Indet. Bee,1,141
54.24,-1.067,Garden Bumblebee,1,141
55.44,-5.141,Common Carder,1,141
51.04,-2.665,Red-tailed Bumblebee,1,140
